time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/approx_kl,train/loss,train/n_updates,train/clip_fraction,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/std
112700,127,15000.0,-1857220.580626,2535,5,0.0,233407.3125,5625,0.0,0.2,0.0003,528414.7625,-0.6505951881408691,-7.152557266465464e-08,-2.840923023223877,1.0015267133712769
112800,128,15000.0,-1857220.580626,2556,5,0.0,1773601.25,5630,0.0,0.2,0.0003,3855914.35,0.07869648933410645,-1.2910366251617233e-07,-2.8409238338470457,1.0015276670455933
112900,129,15000.0,-1857220.580626,2576,5,8.34465e-09,239234.640625,5635,0.0,0.2,0.0003,473714.81875,0.5383403301239014,-2.157843148591354e-05,-2.8409247398376465,1.0015275478363037
113000,130,15000.0,-1857220.580626,2595,5,3.9935113e-08,221542.34375,5640,0.0,0.2,0.0003,448507.95,-0.7925111055374146,-3.699278765996183e-05,-2.840918684005737,1.0015170574188232
113100,131,15000.0,-1857220.580626,2616,5,3.33786e-08,328068.53125,5645,0.0,0.2,0.0003,668617.475,0.43947625160217285,-2.7420520782328596e-05,-2.840893840789795,1.0015062093734741
113200,132,15000.0,-1857220.580626,2635,5,9.536743e-09,217019.203125,5650,0.0,0.2,0.0003,433692.56875,0.43068617582321167,-2.477943893630652e-06,-2.8408770084381105,1.0015004873275757
113300,133,15000.0,-1857220.580626,2655,5,0.0,223553.0625,5655,0.0,0.2,0.0003,477163.50625,-14.340651512145996,3.2200813585347986e-06,-2.8408679008483886,1.0014978647232056
113400,134,15000.0,-1857220.580626,2675,5,0.0,114488.40625,5660,0.0,0.2,0.0003,233351.540625,-0.22370624542236328,-4.276514077616867e-06,-2.840861463546753,1.0014890432357788
113500,135,15000.0,-1857220.580626,2695,5,1.7881393e-09,140745.796875,5665,0.0,0.2,0.0003,273105.240625,0.436409056186676,-1.8560886346108418e-06,-2.840836000442505,1.001476526260376
113600,136,15000.0,-1857220.580626,2714,5,0.0,172014.4375,5670,0.0,0.2,0.0003,359233.79375,0.6970994472503662,4.675388290742433e-06,-2.8408185958862306,1.0014729499816895
