time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/approx_kl,train/entropy_loss,train/value_loss,train/learning_rate,train/loss,train/clip_range,train/clip_fraction,train/n_updates,train/std,train/explained_variance,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1696,13300,133,7,0.0,-2.8403199672698975,2152819.45,0.0003,1046042.375,0.2,0.0,660,1.0012232065200806,0.04103493690490723,-9.894371082452835e-08,,
1714,13400,134,7,0.0,-2.8403167724609375,1611011.675,0.0003,776039.4375,0.2,0.0,665,1.001222014427185,-0.36576008796691895,-5.239248231703187e-07,,
1731,13500,135,7,0.0,-2.8403149127960203,13420994.6,0.0003,6620211.0,0.2,0.0,670,1.0012214183807373,-0.055515408515930176,9.679794210626369e-08,,
1749,13600,136,7,0.0,-2.840314435958862,2933545.05,0.0003,1426789.125,0.2,0.0,675,1.0012218952178955,0.10571777820587158,-3.9339065427412835e-08,,
1767,13700,137,7,0.0,-2.8403155326843263,4025170.45,0.0003,1963822.125,0.2,0.0,680,1.001222014427185,0.1496846079826355,-1.42097471211855e-07,,
1785,13800,138,7,0.0,-2.8403162479400637,3899058.5,0.0003,1903773.5,0.2,0.0,685,1.0012232065200806,-0.04962444305419922,-5.080699846615744e-07,,
1803,13900,139,7,0.0,-2.840319108963013,4356929.4,0.0003,2125896.75,0.2,0.0,690,1.0012242794036865,-0.3458528518676758,2.2763013447502088e-07,,
1819,14000,140,7,0.0,-2.8403213024139404,4301111.5,0.0003,2099153.0,0.2,0.0,695,1.0012261867523193,0.19388586282730103,-4.6300888953965116e-07,,
1836,14100,141,7,0.0,-2.840325355529785,4158544.45,0.0003,2028882.875,0.2,0.0,700,1.001227855682373,0.000940859317779541,1.0037422271125251e-07,,
1854,14200,142,7,0.0,-2.8403282165527344,3809274.45,0.0003,1857159.875,0.2,0.0,705,1.001228928565979,-0.07863175868988037,-1.5199184417724608e-07,,
1872,14300,143,7,0.0,-2.84032998085022,4469345.0,0.0003,2182703.5,0.2,0.0,710,1.0012296438217163,0.1264687180519104,-2.8932095403888524e-07,,
1889,14400,144,7,0.0,-2.840331792831421,3608739.2,0.0003,1757923.0,0.2,0.0,715,1.0012311935424805,0.02062356472015381,2.980231954552437e-08,,
1906,14500,145,7,0.0,-2.8403347015380858,1510667.675,0.0003,726239.25,0.2,0.0,720,1.0012321472167969,-0.11952269077301025,-2.460479734622822e-07,,
1925,14600,146,7,0.0,-2.840336465835571,997936.9,0.0003,474350.3125,0.2,0.0,725,1.0012329816818237,-0.6665294170379639,-1.9788741472126504e-07,,
1944,14700,147,7,0.0,-2.8403374671936037,3588133.45,0.0003,1746896.75,0.2,0.0,730,1.0012331008911133,0.06010323762893677,6.377697019388506e-08,,
1962,14800,148,7,0.0,-2.8403364181518556,689591.2,0.0003,322966.125,0.2,0.0,735,1.001231074333191,-0.42996060848236084,-6.270408604791555e-07,,
1981,14900,149,7,0.0,-2.840331554412842,704592.525,0.0003,328935.90625,0.2,0.0,740,1.0012285709381104,-0.0071326494216918945,-1.1277198410653e-07,,
2000,15000,150,7,0.0,-2.840327262878418,2734858.4,0.0003,1322646.75,0.2,0.0,745,1.0012270212173462,0.018407821655273438,-4.768371528740545e-08,15000.0,-2360083.863403
2015,15100,151,7,0.0,-2.840317726135254,1375827.7,0.0003,684541.25,0.2,0.0,750,1.0012123584747314,-0.04046344757080078,-2.5711059244315495e-06,15000.0,-2360083.863403
2033,15200,152,7,0.0,-2.840281772613525,1363855.9,0.0003,654032.1875,0.2,0.0,755,1.001197099685669,-0.2784390449523926,1.3828277872107719e-06,15000.0,-2360083.863403
2047,15300,153,7,0.0,-2.8402599334716796,1623603.575,0.0003,776704.5,0.2,0.0,760,1.0011910200119019,-3.485816478729248,1.063823685854004e-06,15000.0,-2360083.863403
2062,15400,154,7,0.0,-2.8402506828308107,6504075.0,0.0003,3169937.0,0.2,0.0,765,1.001188039779663,0.046025097370147705,-3.0875206489255904e-07,15000.0,-2360083.863403
2075,15500,155,7,0.0,-2.8402459144592287,3461725.7,0.0003,1673178.875,0.2,0.0,770,1.0011866092681885,0.18363291025161743,6.604194631165683e-08,15000.0,-2360083.863403
2089,15600,156,7,0.0,-2.840243768692017,1472722.55,0.0003,699261.5,0.2,0.0,775,1.0011855363845825,0.02568995952606201,-2.3388862686601896e-07,15000.0,-2360083.863403
2103,15700,157,7,0.0,-2.840241861343384,971192.325,0.0003,455561.09375,0.2,0.0,780,1.0011852979660034,-0.1868133544921875,-2.835988979654758e-07,15000.0,-2360083.863403
2118,15800,158,7,0.0,-2.840241479873657,1005967.075,0.0003,468984.90625,0.2,0.0,785,1.0011844635009766,-0.10498762130737305,-8.130073183565401e-08,15000.0,-2360083.863403
2133,15900,159,7,0.0,-2.840238904953003,2922007.5,0.0003,1401533.5,0.2,0.0,790,1.0011827945709229,0.12017267942428589,-6.105303647530036e-07,15000.0,-2360083.863403
2146,16000,160,7,0.0,-2.8402355670928956,6683832.9,0.0003,3245394.25,0.2,0.0,795,1.0011812448501587,0.10985761880874634,-1.20639802112521e-06,15000.0,-2360083.863403
